number1,number2,number3,number4,number5,number6,bonus_no,day,date
2,3,20,33,48,49,32,Saturday," August 10, 2019"
5,8,9,19,28,31,18,Wednesday," August 7, 2019"
4,14,17,22,26,46,47,Saturday," August 3, 2019"
2,11,19,35,39,48,17,Wednesday," July 31, 2019"
1,3,5,34,38,43,49,Saturday," July 27, 2019"
2,8,10,18,37,48,29,Wednesday," July 24, 2019"
4,21,30,41,44,46,5,Saturday," July 20, 2019"
21,24,33,36,41,42,3,Wednesday," July 17, 2019"
5,11,12,33,37,45,2,Saturday," July 13, 2019"
7,15,22,28,43,49,45,Wednesday," July 10, 2019"
10,28,38,39,40,43,45,Saturday," July 6, 2019"
13,21,26,30,38,39,19,Wednesday," July 3, 2019"
2,5,19,21,29,46,15,Saturday," June 29, 2019"
4,10,17,24,26,33,2,Wednesday," June 26, 2019"
15,16,34,35,38,44,43,Saturday," June 22, 2019"
21,31,41,45,46,47,39,Wednesday," June 19, 2019"
10,19,24,30,35,49,32,Saturday," June 15, 2019"
22,23,31,38,47,48,10,Wednesday," June 12, 2019"
9,12,15,20,24,43,36,Saturday," June 8, 2019"
6,21,35,46,48,49,14,Wednesday," June 5, 2019"
16,29,34,35,47,49,10,Saturday," June 1, 2019"
4,5,15,38,41,42,36,Wednesday," May 29, 2019"
12,19,22,25,45,49,28,Saturday," May 25, 2019"
13,19,22,25,32,35,48,Wednesday," May 22, 2019"
7,8,13,27,28,34,2,Saturday," May 18, 2019"
5,6,32,40,42,47,17,Wednesday," May 15, 2019"
3,12,26,27,34,46,29,Saturday," May 11, 2019"
18,19,22,30,41,48,47,Wednesday," May 8, 2019"
3,4,12,21,41,49,5,Saturday," May 4, 2019"
23,27,28,34,38,43,48,Wednesday," May 1, 2019"
5,6,11,16,19,27,24,Saturday," April 27, 2019"
6,10,16,17,41,43,18,Wednesday," April 24, 2019"
11,15,32,34,44,47,3,Saturday," April 20, 2019"
10,11,20,26,38,43,3,Wednesday," April 17, 2019"
4,5,15,23,38,45,12,Saturday," April 13, 2019"
10,16,23,38,39,48,33,Wednesday," April 10, 2019"
6,19,30,37,38,49,34,Saturday," April 6, 2019"
12,17,29,35,40,47,23,Wednesday," April 3, 2019"
7,14,18,26,31,32,3,Saturday," March 30, 2019"
16,19,22,28,34,48,49,Wednesday," March 27, 2019"
3,6,20,22,23,24,19,Saturday," March 23, 2019"
2,8,17,21,22,26,5,Wednesday," March 20, 2019"
9,12,15,20,25,45,16,Saturday," March 16, 2019"
4,13,18,21,26,31,33,Wednesday," March 13, 2019"
22,23,26,34,42,46,3,Saturday," March 9, 2019"
1,3,18,19,22,37,30,Wednesday," March 6, 2019"
4,14,21,29,41,49,35,Saturday," March 2, 2019"
4,13,22,25,29,39,6,Wednesday," February 27, 2019"
5,6,10,43,46,47,27,Saturday," February 23, 2019"
21,22,23,30,33,43,42,Wednesday," February 20, 2019"
3,9,10,20,21,35,31,Saturday," February 16, 2019"
5,19,24,29,36,41,9,Wednesday," February 13, 2019"
1,24,35,41,42,49,18,Saturday," February 9, 2019"
1,16,27,28,36,39,9,Wednesday," February 6, 2019"
14,16,25,29,30,48,12,Saturday," February 2, 2019"
3,7,27,37,43,48,45,Wednesday," January 30, 2019"
3,7,10,12,14,25,36,Saturday," January 26, 2019"
3,19,20,26,31,38,6,Wednesday," January 23, 2019"
2,13,32,39,44,49,10,Saturday," January 19, 2019"
4,10,11,34,46,48,23,Wednesday," January 16, 2019"
10,13,21,30,46,48,23,Saturday," January 12, 2019"
1,10,27,38,44,47,41,Wednesday," January 9, 2019"
4,10,38,40,45,48,43,Saturday," January 5, 2019"
13,18,19,36,37,43,49,Wednesday," January 2, 2019"
7,14,30,32,38,45,6,Wednesday," December 30, 2020"
21,26,28,33,34,42,43,Saturday," December 26, 2020"
7,15,24,31,33,34,3,Wednesday," December 23, 2020"
1,8,10,11,17,35,41,Saturday," December 19, 2020"
10,12,20,25,31,34,42,Wednesday," December 16, 2020"
27,28,29,36,46,48,49,Saturday," December 12, 2020"
10,11,14,19,27,39,40,Wednesday," December 9, 2020"
3,10,13,21,27,45,23,Saturday," December 5, 2020"
22,24,28,41,47,49,21,Wednesday," December 2, 2020"
3,4,16,23,26,44,18,Saturday," November 28, 2020"
13,14,31,33,37,46,40,Wednesday," November 25, 2020"
16,19,21,34,37,47,25,Saturday," November 21, 2020"
7,14,21,28,30,32,22,Wednesday," November 18, 2020"
1,2,13,30,35,38,45,Saturday," November 14, 2020"
6,14,18,23,31,47,44,Wednesday," November 11, 2020"
1,16,19,24,26,47,29,Saturday," November 7, 2020"
2,9,13,18,40,46,34,Wednesday," November 4, 2020"
5,8,18,22,41,48,23,Saturday," October 31, 2020"
2,3,16,25,34,46,49,Wednesday," October 28, 2020"
4,9,17,20,26,31,34,Saturday," October 24, 2020"
26,28,32,37,40,47,10,Wednesday," October 21, 2020"
7,8,9,24,25,34,14,Saturday," October 17, 2020"
10,18,20,38,39,44,40,Wednesday," October 14, 2020"
6,23,24,29,36,38,25,Saturday," October 10, 2020"
4,5,12,13,18,19,34,Wednesday," October 7, 2020"
12,22,24,37,39,43,16,Saturday," October 3, 2020"
13,16,20,21,27,48,15,Wednesday," September 30, 2020"
8,27,29,33,40,49,2,Saturday," September 26, 2020"
11,17,28,29,36,39,15,Wednesday," September 23, 2020"
5,15,31,35,42,46,17,Saturday," September 19, 2020"
6,12,23,29,44,46,39,Wednesday," September 16, 2020"
5,13,19,37,42,45,40,Saturday," September 12, 2020"
3,5,9,19,29,37,42,Wednesday," September 9, 2020"
1,8,10,33,34,38,4,Saturday," September 5, 2020"
1,5,15,23,25,31,40,Wednesday," September 2, 2020"
3,13,21,24,29,40,35,Saturday," August 29, 2020"
6,8,20,23,35,39,11,Wednesday," August 26, 2020"
19,25,34,36,40,43,32,Saturday," August 22, 2020"
2,17,32,37,39,42,9,Wednesday," August 19, 2020"
6,7,11,18,22,43,9,Saturday," August 15, 2020"
16,24,27,43,48,49,39,Wednesday," August 12, 2020"
1,20,21,23,40,46,28,Saturday," August 8, 2020"
3,14,23,30,38,43,24,Wednesday," August 5, 2020"
12,13,17,22,39,40,25,Saturday," August 1, 2020"
1,11,17,19,22,45,14,Wednesday," July 29, 2020"
6,21,34,44,45,48,33,Saturday," July 25, 2020"
5,14,19,42,46,47,8,Wednesday," July 22, 2020"
5,23,37,40,44,45,47,Saturday," July 18, 2020"
5,7,17,22,43,44,14,Wednesday," July 15, 2020"
16,22,31,36,43,44,46,Saturday," July 11, 2020"
11,26,28,35,37,47,8,Wednesday," July 8, 2020"
15,20,27,34,38,42,47,Saturday," July 4, 2020"
1,12,27,30,34,49,35,Wednesday," July 1, 2020"
1,13,14,24,36,44,7,Saturday," June 27, 2020"
6,16,23,39,47,48,33,Wednesday," June 24, 2020"
14,22,29,36,48,49,19,Saturday," June 20, 2020"
5,10,18,29,32,48,6,Wednesday," June 17, 2020"
3,31,34,38,45,48,12,Saturday," June 13, 2020"
3,13,25,33,34,45,14,Wednesday," June 10, 2020"
6,22,38,45,48,49,2,Saturday," June 6, 2020"
2,15,20,22,29,39,13,Wednesday," June 3, 2020"
11,17,27,28,30,43,35,Saturday," May 30, 2020"
7,17,18,22,28,34,1,Wednesday," May 27, 2020"
4,25,27,28,35,44,9,Saturday," May 23, 2020"
8,23,25,34,37,47,4,Wednesday," May 20, 2020"
1,6,7,14,26,48,49,Saturday," May 16, 2020"
3,10,21,35,38,48,28,Wednesday," May 13, 2020"
13,14,15,35,45,47,9,Saturday," May 9, 2020"
6,29,34,36,45,49,3,Wednesday," May 6, 2020"
15,18,26,34,43,45,42,Saturday," May 2, 2020"
6,17,21,30,40,41,27,Wednesday," April 29, 2020"
6,10,11,22,32,48,17,Saturday," April 25, 2020"
9,10,11,14,15,28,36,Wednesday," April 22, 2020"
1,10,23,32,46,48,36,Saturday," April 18, 2020"
1,3,7,13,22,47,30,Wednesday," April 15, 2020"
10,14,17,32,35,42,26,Saturday," April 11, 2020"
9,13,21,23,30,32,15,Wednesday," April 8, 2020"
19,29,34,35,44,45,10,Saturday," April 4, 2020"
4,6,10,13,25,49,41,Wednesday," April 1, 2020"
2,7,21,30,33,46,27,Saturday," March 28, 2020"
3,19,31,38,45,47,48,Wednesday," March 25, 2020"
6,11,22,36,37,45,10,Saturday," March 21, 2020"
7,8,9,12,14,36,28,Wednesday," March 18, 2020"
1,2,23,27,31,32,43,Saturday," March 14, 2020"
5,24,32,37,43,44,23,Wednesday," March 11, 2020"
5,8,13,27,34,46,39,Saturday," March 7, 2020"
6,8,15,24,38,41,31,Wednesday," March 4, 2020"
6,12,15,18,31,46,13,Saturday," February 29, 2020"
8,25,34,35,36,38,5,Wednesday," February 26, 2020"
2,7,26,33,46,48,25,Saturday," February 22, 2020"
5,6,13,23,44,49,40,Wednesday," February 19, 2020"
7,8,11,23,27,30,3,Saturday," February 15, 2020"
16,20,24,33,36,47,4,Wednesday," February 12, 2020"
8,28,30,39,41,43,45,Saturday," February 8, 2020"
1,3,6,24,29,45,48,Wednesday," February 5, 2020"
13,21,35,40,45,48,47,Saturday," February 1, 2020"
3,14,16,23,41,43,29,Wednesday," January 29, 2020"
8,20,21,30,32,48,31,Saturday," January 25, 2020"
2,10,27,30,39,43,21,Wednesday," January 22, 2020"
2,5,10,18,26,30,36,Saturday," January 18, 2020"
1,17,23,25,26,34,24,Wednesday," January 15, 2020"
2,3,7,18,24,26,6,Saturday," January 11, 2020"
2,5,19,44,48,49,24,Wednesday," January 8, 2020"
23,24,36,42,45,46,21,Saturday," January 4, 2020"
11,23,30,35,39,43,34,Wednesday," January 1, 2020"
18,32,42,44,45,48,38,Wednesday," December 29, 2021"
4,13,21,24,31,45,41,Saturday," December 25, 2021"
1,2,3,11,15,43,46,Wednesday," December 22, 2021"
2,10,15,16,20,49,18,Saturday," December 18, 2021"
1,9,12,18,35,48,19,Wednesday," December 15, 2021"
1,6,26,27,43,46,12,Saturday," December 11, 2021"
23,25,26,36,40,49,42,Wednesday," December 8, 2021"
5,11,15,28,31,47,19,Saturday," December 4, 2021"
14,17,27,34,36,42,8,Wednesday," December 1, 2021"
6,7,14,23,35,41,11,Saturday," November 27, 2021"
10,11,18,20,35,48,39,Wednesday," November 24, 2021"
15,25,26,29,42,43,22,Saturday," November 20, 2021"
3,4,18,23,27,28,38,Wednesday," November 17, 2021"
5,6,7,18,25,37,24,Saturday," November 13, 2021"
2,7,18,19,23,25,43,Wednesday," November 10, 2021"
14,16,28,39,41,47,37,Saturday," November 6, 2021"
9,20,27,35,37,43,3,Wednesday," November 3, 2021"
3,5,7,23,42,46,15,Saturday," October 30, 2021"
3,9,14,36,40,46,41,Wednesday," October 27, 2021"
1,3,9,40,42,44,46,Saturday," October 23, 2021"
6,9,34,35,48,49,41,Wednesday," October 20, 2021"
5,10,11,33,44,47,20,Saturday," October 16, 2021"
2,7,8,11,19,27,24,Wednesday," October 13, 2021"
1,11,19,27,28,38,8,Saturday," October 9, 2021"
7,18,19,38,42,46,31,Wednesday," October 6, 2021"
8,17,18,19,48,49,26,Saturday," October 2, 2021"
3,5,38,39,41,48,28,Wednesday," September 29, 2021"
3,8,10,35,46,48,17,Saturday," September 25, 2021"
5,14,19,30,38,40,27,Wednesday," September 22, 2021"
9,26,29,36,40,41,27,Saturday," September 18, 2021"
7,11,14,15,27,41,49,Wednesday," September 15, 2021"
15,18,31,33,34,41,45,Saturday," September 11, 2021"
2,7,10,16,28,36,41,Wednesday," September 8, 2021"
6,13,18,19,29,49,2,Saturday," September 4, 2021"
3,4,14,18,19,42,43,Wednesday," September 1, 2021"
6,8,9,12,19,26,43,Saturday," August 28, 2021"
1,16,34,37,41,48,21,Wednesday," August 25, 2021"
2,9,15,21,38,46,36,Saturday," August 21, 2021"
7,8,28,30,32,42,33,Wednesday," August 18, 2021"
3,8,11,34,40,47,4,Saturday," August 14, 2021"
12,15,25,40,44,45,31,Wednesday," August 11, 2021"
10,13,15,22,29,46,3,Saturday," August 7, 2021"
3,8,21,38,42,49,27,Wednesday," August 4, 2021"
7,30,37,43,47,49,20,Saturday," July 31, 2021"
1,4,10,14,32,39,19,Wednesday," July 28, 2021"
1,5,7,19,37,45,35,Saturday," July 24, 2021"
2,4,15,20,35,45,10,Wednesday," July 21, 2021"
22,24,28,35,37,45,49,Saturday," July 17, 2021"
2,9,19,23,26,30,10,Wednesday," July 14, 2021"
4,5,18,28,35,42,2,Saturday," July 10, 2021"
11,16,21,26,42,45,22,Wednesday," July 7, 2021"
4,7,10,31,33,38,23,Saturday," July 3, 2021"
9,10,13,26,28,30,36,Wednesday," June 30, 2021"
15,27,36,37,43,49,7,Saturday," June 26, 2021"
9,17,20,22,34,40,48,Wednesday," June 23, 2021"
13,15,17,25,34,45,5,Saturday," June 19, 2021"
16,23,32,33,37,45,3,Wednesday," June 16, 2021"
11,20,22,33,41,49,34,Saturday," June 12, 2021"
1,3,15,26,28,39,10,Wednesday," June 9, 2021"
13,15,22,42,45,46,14,Saturday," June 5, 2021"
1,13,22,32,33,39,48,Wednesday," June 2, 2021"
11,18,19,27,34,46,42,Saturday," May 29, 2021"
7,10,20,38,45,49,26,Wednesday," May 26, 2021"
7,13,14,34,37,45,29,Saturday," May 22, 2021"
12,21,25,40,42,49,45,Wednesday," May 19, 2021"
3,6,12,28,39,46,5,Saturday," May 15, 2021"
30,35,39,42,46,48,38,Wednesday," May 12, 2021"
25,28,36,38,41,49,20,Saturday," May 8, 2021"
5,22,23,26,43,46,4,Wednesday," May 5, 2021"
10,15,21,30,32,38,24,Saturday," May 1, 2021"
6,11,20,22,34,49,42,Wednesday," April 28, 2021"
14,18,27,33,34,39,49,Saturday," April 24, 2021"
15,18,23,32,38,47,19,Wednesday," April 21, 2021"
7,13,32,38,39,48,23,Saturday," April 17, 2021"
4,6,12,23,36,47,18,Wednesday," April 14, 2021"
5,16,19,24,28,34,4,Saturday," April 10, 2021"
23,31,34,38,39,41,12,Wednesday," April 7, 2021"
12,13,19,35,42,47,28,Saturday," April 3, 2021"
3,7,8,12,37,40,41,Wednesday," March 31, 2021"
15,16,17,30,36,40,34,Saturday," March 27, 2021"
3,4,27,43,45,48,44,Wednesday," March 24, 2021"
9,16,25,36,39,43,49,Saturday," March 20, 2021"
4,9,13,25,44,49,3,Wednesday," March 17, 2021"
15,24,27,29,42,49,18,Saturday," March 13, 2021"
30,31,35,36,43,48,28,Wednesday," March 10, 2021"
2,14,18,21,26,48,19,Saturday," March 6, 2021"
3,11,33,34,36,43,42,Wednesday," March 3, 2021"
11,15,16,20,46,49,17,Saturday," February 27, 2021"
11,36,37,38,39,45,10,Wednesday," February 24, 2021"
2,14,15,21,29,46,7,Saturday," February 20, 2021"
7,16,18,43,45,48,14,Wednesday," February 17, 2021"
16,17,27,40,41,45,38,Saturday," February 13, 2021"
4,14,22,26,45,48,20,Wednesday," February 10, 2021"
6,11,12,26,28,38,47,Saturday," February 6, 2021"
20,21,26,30,35,41,47,Wednesday," February 3, 2021"
3,23,26,35,42,44,32,Saturday," January 30, 2021"
12,17,23,36,44,49,32,Wednesday," January 27, 2021"
5,17,21,29,41,43,46,Saturday," January 23, 2021"
2,5,18,23,29,47,45,Wednesday," January 20, 2021"
9,10,21,28,35,43,34,Saturday," January 16, 2021"
20,27,28,37,38,39,9,Wednesday," January 13, 2021"
4,8,18,24,31,32,40,Saturday," January 9, 2021"
15,23,30,31,32,42,48,Wednesday," January 6, 2021"
16,17,20,42,47,49,40,Saturday," January 2, 2021"
2,5,7,11,15,21,25,Saturday," December 31, 2022"
2,10,16,17,24,26,18,Wednesday," December 28, 2022"
10,11,21,22,24,30,32,Saturday," December 24, 2022"
29,34,37,38,42,49,41,Wednesday," December 21, 2022"
11,18,20,23,29,42,6,Saturday," December 17, 2022"
9,21,34,37,41,44,24,Wednesday," December 14, 2022"
10,14,20,35,37,40,48,Saturday," December 10, 2022"
22,23,38,41,44,48,8,Wednesday," December 7, 2022"
4,18,26,36,41,42,32,Saturday," December 3, 2022"
4,11,16,19,27,35,25,Wednesday," November 30, 2022"
18,26,32,37,42,43,10,Saturday," November 26, 2022"
3,14,19,20,28,47,37,Wednesday," November 23, 2022"
12,16,21,32,38,45,15,Saturday," November 19, 2022"
4,6,12,20,41,44,31,Wednesday," November 16, 2022"
1,20,24,32,36,37,5,Saturday," November 12, 2022"
21,23,30,34,41,49,13,Wednesday," November 9, 2022"
2,20,31,40,48,49,44,Saturday," November 5, 2022"
19,25,38,40,47,48,20,Wednesday," November 2, 2022"
9,13,20,26,28,40,44,Saturday," October 29, 2022"
10,15,23,38,39,45,37,Wednesday," October 26, 2022"
2,17,24,36,40,49,30,Saturday," October 22, 2022"
4,15,30,35,42,43,24,Wednesday," October 19, 2022"
7,9,12,33,35,36,6,Saturday," October 15, 2022"
8,10,25,36,38,41,42,Wednesday," October 12, 2022"
1,5,21,35,37,41,6,Saturday," October 8, 2022"
3,6,10,19,28,31,2,Wednesday," October 5, 2022"
4,19,21,24,25,36,9,Saturday," October 1, 2022"
7,10,11,24,32,40,25,Wednesday," September 28, 2022"
10,13,21,37,40,41,48,Saturday," September 24, 2022"
1,26,33,37,44,49,31,Wednesday," September 21, 2022"
3,9,15,21,33,49,13,Saturday," September 17, 2022"
7,8,14,22,23,39,11,Wednesday," September 14, 2022"
11,15,19,29,41,49,38,Saturday," September 10, 2022"
11,12,13,16,29,35,7,Wednesday," September 7, 2022"
5,8,13,21,22,46,9,Saturday," September 3, 2022"
9,18,25,33,35,41,19,Wednesday," August 31, 2022"
9,12,19,20,23,28,31,Saturday," August 27, 2022"
9,15,22,24,26,41,16,Wednesday," August 24, 2022"
1,5,11,29,40,49,22,Saturday," August 20, 2022"
6,7,13,30,31,43,20,Wednesday," August 17, 2022"
5,8,13,35,37,40,3,Saturday," August 13, 2022"
8,9,36,38,44,45,29,Wednesday," August 10, 2022"
10,18,21,31,34,48,9,Saturday," August 6, 2022"
10,15,24,27,42,46,36,Wednesday," August 3, 2022"
9,21,22,27,35,47,31,Saturday," July 30, 2022"
6,19,29,42,45,49,21,Wednesday," July 27, 2022"
6,23,24,26,39,42,21,Saturday," July 23, 2022"
1,15,17,25,26,40,39,Wednesday," July 20, 2022"
8,19,23,34,37,44,21,Saturday," July 16, 2022"
13,18,19,21,35,40,29,Wednesday," July 13, 2022"
8,12,21,33,34,45,23,Saturday," July 9, 2022"
25,33,34,35,37,46,30,Wednesday," July 6, 2022"
1,4,7,33,36,47,2,Saturday," July 2, 2022"
6,7,16,26,31,35,13,Wednesday," June 29, 2022"
9,14,23,36,38,44,19,Saturday," June 25, 2022"
7,10,11,18,27,42,25,Wednesday," June 22, 2022"
4,6,20,21,24,44,5,Saturday," June 18, 2022"
3,5,9,12,16,29,32,Wednesday," June 15, 2022"
14,15,22,25,32,44,45,Saturday," June 11, 2022"
6,22,32,39,40,46,26,Wednesday," June 8, 2022"
14,24,32,36,37,48,17,Saturday," June 4, 2022"
1,15,16,19,44,48,5,Wednesday," June 1, 2022"
6,13,15,29,45,48,1,Saturday," May 28, 2022"
14,15,22,35,36,47,19,Wednesday," May 25, 2022"
4,5,26,33,35,44,30,Saturday," May 21, 2022"
14,22,24,28,42,48,23,Wednesday," May 18, 2022"
2,14,21,27,34,49,5,Saturday," May 14, 2022"
5,10,12,34,36,48,27,Wednesday," May 11, 2022"
7,12,21,28,40,46,34,Saturday," May 7, 2022"
4,21,22,36,41,43,31,Wednesday," May 4, 2022"
9,11,14,16,20,43,32,Saturday," April 30, 2022"
6,26,29,32,33,41,2,Wednesday," April 27, 2022"
17,19,27,39,44,49,2,Saturday," April 23, 2022"
6,10,13,17,21,37,34,Wednesday," April 20, 2022"
7,13,26,35,36,38,40,Saturday," April 16, 2022"
9,27,31,33,45,49,20,Wednesday," April 13, 2022"
12,28,34,41,46,49,2,Saturday," April 9, 2022"
2,8,9,16,39,49,21,Wednesday," April 6, 2022"
5,12,15,29,42,44,38,Saturday," April 2, 2022"
3,7,15,21,35,40,37,Wednesday," March 30, 2022"
5,11,21,22,38,45,44,Saturday," March 26, 2022"
8,11,12,23,29,36,49,Wednesday," March 23, 2022"
4,7,26,36,42,47,32,Saturday," March 19, 2022"
1,3,8,14,15,16,33,Wednesday," March 16, 2022"
3,8,20,24,37,47,31,Saturday," March 12, 2022"
16,25,31,34,40,42,15,Wednesday," March 9, 2022"
5,9,10,32,38,40,44,Saturday," March 5, 2022"
11,12,39,41,42,49,14,Wednesday," March 2, 2022"
6,8,12,16,24,35,25,Saturday," February 26, 2022"
4,10,28,31,33,43,18,Wednesday," February 23, 2022"
4,16,30,32,37,44,35,Saturday," February 19, 2022"
2,8,30,31,40,44,11,Wednesday," February 16, 2022"
1,25,26,37,40,43,3,Saturday," February 12, 2022"
12,14,19,28,32,36,17,Wednesday," February 9, 2022"
2,9,12,14,23,24,10,Saturday," February 5, 2022"
3,7,9,23,26,32,42,Wednesday," February 2, 2022"
10,14,25,29,33,44,40,Saturday," January 29, 2022"
5,22,25,30,32,46,45,Wednesday," January 26, 2022"
7,12,27,31,37,44,35,Saturday," January 22, 2022"
3,12,19,37,39,45,47,Wednesday," January 19, 2022"
5,10,35,41,42,44,13,Saturday," January 15, 2022"
8,21,26,29,31,46,40,Wednesday," January 12, 2022"
6,18,23,31,46,48,4,Saturday," January 8, 2022"
2,5,8,29,36,45,23,Wednesday," January 5, 2022"
7,8,15,17,19,33,6,Saturday," January 1, 2022"
7,18,23,28,31,48,44,Saturday," December 30, 2023"
3,11,21,40,46,48,36,Wednesday," December 27, 2023"
7,10,15,21,29,31,17,Saturday," December 23, 2023"
10,12,13,17,35,44,47,Wednesday," December 20, 2023"
7,8,13,20,43,44,2,Saturday," December 16, 2023"
7,16,20,33,46,47,5,Wednesday," December 13, 2023"
4,5,14,21,27,30,41,Saturday," December 9, 2023"
1,11,31,36,38,45,46,Wednesday," December 6, 2023"
1,2,20,26,39,49,18,Saturday," December 2, 2023"
11,13,16,18,21,43,37,Wednesday," November 29, 2023"
5,9,18,29,39,42,48,Saturday," November 25, 2023"
7,12,13,17,20,36,11,Wednesday," November 22, 2023"
6,22,26,30,35,36,25,Saturday," November 18, 2023"
16,20,23,32,37,39,13,Wednesday," November 15, 2023"
3,17,25,26,41,42,18,Saturday," November 11, 2023"
25,29,37,43,46,48,15,Wednesday," November 8, 2023"
1,10,15,17,35,45,34,Saturday," November 4, 2023"
7,12,31,34,41,48,25,Wednesday," November 1, 2023"
4,9,17,30,36,43,37,Saturday," October 28, 2023"
1,4,16,22,29,47,43,Wednesday," October 25, 2023"
1,12,17,19,23,39,37,Saturday," October 21, 2023"
3,4,9,27,30,37,48,Wednesday," October 18, 2023"
15,17,23,32,37,47,49,Saturday," October 14, 2023"
9,17,22,28,37,43,25,Wednesday," October 11, 2023"
4,6,20,40,45,46,33,Saturday," October 7, 2023"
18,19,26,27,29,30,34,Wednesday," October 4, 2023"
30,31,34,43,45,47,14,Saturday," September 30, 2023"
9,17,25,30,38,48,35,Wednesday," September 27, 2023"
5,18,22,26,28,45,14,Saturday," September 23, 2023"
10,14,17,22,25,38,24,Wednesday," September 20, 2023"
5,9,14,29,37,38,18,Saturday," September 16, 2023"
8,10,18,32,33,42,40,Wednesday," September 13, 2023"
8,17,20,26,42,44,3,Saturday," September 9, 2023"
3,10,31,38,39,41,34,Wednesday," September 6, 2023"
12,13,30,33,35,43,17,Saturday," September 2, 2023"
3,16,22,25,27,46,19,Wednesday," August 30, 2023"
6,10,11,22,32,43,27,Saturday," August 26, 2023"
3,13,14,19,26,36,25,Wednesday," August 23, 2023"
22,23,25,35,36,41,21,Saturday," August 19, 2023"
2,3,6,7,17,27,24,Wednesday," August 16, 2023"
2,5,7,12,31,44,29,Saturday," August 12, 2023"
17,35,37,40,45,47,44,Wednesday," August 9, 2023"
1,5,10,20,28,39,26,Saturday," August 5, 2023"
4,7,9,25,34,48,42,Wednesday," August 2, 2023"
2,7,8,18,33,36,14,Saturday," July 29, 2023"
10,19,20,30,38,45,7,Wednesday," July 26, 2023"
3,7,8,25,35,48,32,Saturday," July 22, 2023"
15,25,30,31,40,48,22,Wednesday," July 19, 2023"
17,24,31,32,35,47,20,Saturday," July 15, 2023"
9,18,22,23,28,46,11,Wednesday," July 12, 2023"
10,11,23,30,44,49,6,Saturday," July 8, 2023"
3,4,10,12,30,34,14,Wednesday," July 5, 2023"
10,21,30,32,35,49,41,Saturday," July 1, 2023"
8,13,16,40,42,47,22,Wednesday," June 28, 2023"
5,7,15,18,21,29,17,Saturday," June 24, 2023"
4,5,13,14,33,35,8,Wednesday," June 21, 2023"
16,31,42,44,45,48,15,Saturday," June 17, 2023"
12,18,22,24,25,47,21,Wednesday," June 14, 2023"
14,23,26,31,32,42,25,Saturday," June 10, 2023"
1,15,19,24,32,44,31,Wednesday," June 7, 2023"
22,31,33,34,43,49,21,Saturday," June 3, 2023"
9,22,23,25,30,37,48,Wednesday," May 31, 2023"
11,20,26,38,44,45,41,Saturday," May 27, 2023"
3,7,37,43,45,46,31,Wednesday," May 24, 2023"
4,6,23,27,41,48,28,Saturday," May 20, 2023"
16,25,28,40,47,49,7,Wednesday," May 17, 2023"
13,14,27,29,31,42,45,Saturday," May 13, 2023"
27,34,36,41,44,47,38,Wednesday," May 10, 2023"
3,19,23,30,37,42,1,Saturday," May 6, 2023"
7,15,21,34,46,48,16,Wednesday," May 3, 2023"
6,11,28,29,39,43,34,Saturday," April 29, 2023"
5,9,25,29,39,48,22,Wednesday," April 26, 2023"
4,8,21,38,46,49,36,Saturday," April 22, 2023"
1,6,13,17,43,44,28,Wednesday," April 19, 2023"
1,20,30,35,36,44,48,Saturday," April 15, 2023"
9,10,19,23,32,37,46,Wednesday," April 12, 2023"
8,13,16,27,31,46,41,Saturday," April 8, 2023"
10,17,21,22,41,42,3,Wednesday," April 5, 2023"
5,11,23,31,45,49,6,Saturday," April 1, 2023"
9,10,12,17,30,45,44,Wednesday," March 29, 2023"
11,12,13,16,22,28,27,Saturday," March 25, 2023"
2,7,9,11,39,41,48,Wednesday," March 22, 2023"
4,7,8,15,34,45,1,Saturday," March 18, 2023"
4,9,26,27,28,33,30,Wednesday," March 15, 2023"
6,13,21,29,33,49,22,Saturday," March 11, 2023"
6,9,25,34,36,43,38,Wednesday," March 8, 2023"
3,9,19,22,37,43,27,Saturday," March 4, 2023"
3,8,10,14,34,35,44,Wednesday," March 1, 2023"
2,23,24,25,39,40,21,Saturday," February 25, 2023"
3,19,24,25,27,43,34,Wednesday," February 22, 2023"
3,5,7,10,26,39,22,Saturday," February 18, 2023"
1,3,8,37,41,43,16,Wednesday," February 15, 2023"
4,17,21,27,32,42,30,Saturday," February 11, 2023"
6,12,19,24,38,47,27,Wednesday," February 8, 2023"
11,13,29,31,42,47,17,Saturday," February 4, 2023"
8,22,23,24,34,38,41,Wednesday," February 1, 2023"
5,12,15,26,46,48,17,Saturday," January 28, 2023"
5,13,24,33,35,41,43,Wednesday," January 25, 2023"
8,11,27,35,38,45,48,Saturday," January 21, 2023"
6,13,25,31,41,47,46,Wednesday," January 18, 2023"
1,10,11,13,29,37,47,Saturday," January 14, 2023"
13,17,22,30,31,47,7,Wednesday," January 11, 2023"
5,6,14,16,45,48,18,Saturday," January 7, 2023"
4,17,21,22,31,38,46,Wednesday," January 4, 2023"
11,17,21,27,41,44,7,Saturday," April 13, 2024"
11,12,17,23,38,46,40,Wednesday," April 10, 2024"
16,18,22,29,36,43,44,Saturday," April 6, 2024"
2,10,35,36,38,46,20,Wednesday," April 3, 2024"
7,12,25,29,39,43,23,Saturday," March 30, 2024"
14,22,27,39,40,45,6,Wednesday," March 27, 2024"
2,14,26,27,33,49,8,Saturday," March 23, 2024"
8,19,33,44,46,48,21,Wednesday," March 20, 2024"
